,,,
 FY 2002 Actual ,252190000,2002,50000
 FY 2003 Actual ,285709000,2003,50000
 FY 2004 Actual ,264615000,2004,50000
 FY 2005 Actual ,301093000,2005,50000
 FY 2006 Actual ,346841000,2006,50000
 FY 2007 Actual ,347749000,2007,50000
 FY 2008 Actual ,360226000,2008,50000
 FY 2009 Actual ,350281000,2009,50000
FY 2010 Actual,373743000,2010,50000
FY 2011 Plan,422918000,2011,50000
FY 2012 Plan,423728000,2012,50000
FY 2013 Plan,422995000,2013,50000
FY 2014 Plan,423032000,2014,50000
FY 2015 Plan,423010000,2015,0
